8
敎	가르칠 교
校	학교 교
九	아홉 구
國	나라 국
軍	군사 군
金	쇠 금
金	성 김
南	남녘 남
女	계집 녀
年	해 년
大	큰 대
東	동녘 동
六	여섯 륙
萬	일만 만
母	어미 모
木	나무 목
門	문 문
民	백성 민
白	흰 백
父	아비 부
北	북녘 북
北	달아날 배
四	넉 사
山	메 산
三	석 삼
生	날 생
西	서녘 서
先	먼저 선
小	작을 소
水	물 수
室	집 실
十	열 십
五	다섯 오
王	임금 왕
外	바깥 외
月	달 월
二	두 이
人	사람 인
一	한 일
日	날 일
長	긴 장
弟	아우 제
中	가운데 중
靑	푸를 청
寸	마디 촌
七	일곱 칠
土	흙 토
八	여덟 팔
學	배울 학
韓	한국 한
兄	형 형
火	불 화
7
家	집 가
歌	노래 가
間	사이 간
江	강 강
車	수레 거
車	수레 차
工	장인 공
空	빌 공
口	입 구
旗	기 기
氣	기운 기
記	기록할 기
男	사내 남
內	안 내
農	농사 농
答	대답 답
道	길 도
冬	겨울 동
動	움직일 동
同	한가지 동
洞	골 동
洞	밝을 통
登	오를 등
來	올 래
力	힘 력
老	늙을 로
里	마을 리
林	수풀 림
立	설 립
每	매양 매
面	낯 면
名	이름 명
命	목숨 명
問	물을 문
文	글월 문
物	물건 물
方	모 방
百	일백 백
不	아닐 불
不	아닐 부
夫	지아비 부
事	일 사
算	셈 산
上	윗 상
色	빛 색
夕	저녁 석
姓	성 성
世	인간 세
少	적을 소
所	바 소
手	손 수
數	셈 수
數	자수 삭
數	촘촘할 촉
市	저자 시
時	때 시
植	심을 식
食	밥 식
食	먹일 사
心	마음 심
安	편안 안
語	말씀 어
然	그럴 연
午	낮 오
右	오른 우
有	있을 유
育	기를 육
邑	고을 읍
入	들 입
子	아들 자
字	글자 자
自	스스로 자
場	마당 장
全	온전 전
前	앞 전
電	번개 전
正	바를 정
祖	할아비 조
足	발 족
左	왼 좌
主	주인 주
住	살 주
重	무거울 중
地	따 지
紙	종이 지
直	곧을 직
千	일천 천
天	하늘 천
川	내 천
草	풀 초
村	마을 촌
秋	가을 추
春	봄 춘
出	날 출
便	편할 편
便	똥오줌 변
平	평평할 평
下	아래 하
夏	여름 하
漢	한나라 한
海	바다 해
花	꽃 화
話	말씀 화
活	살 활
活	물소리 괄
孝	효도 효
後	뒤 후
休	쉴 휴
6
各	각각 각
角	뿔 각
感	느낄 감
强	강할 강
開	열 개
京	서울 경
界	지경 계
計	셀 계
古	예 고
苦	쓸 고
高	높을 고
公	공평할 공
共	한가지 공
功	공 공
果	실과 과
科	과목 과
光	빛 광
交	사귈 교
區	구분할 구
球	공 구
郡	고을 군
根	뿌리 근
近	가까울 근
今	이제 금
急	급할 급
